date_and_time,Open,High,Low,Close
2020.07.16 04:00,1.14145,1.14165,1.14,1.14057
2020.07.16 08:00,1.14057,1.14154,1.13854,1.13927
2020.07.16 12:00,1.13927,1.14244,1.13779,1.14108
2020.07.16 16:00,1.14104,1.14415,1.13993,1.14091
2020.07.16 20:00,1.14091,1.14098,1.13701,1.13819
2020.07.17 00:00,1.13835,1.1393,1.13722,1.13845
2020.07.17 04:00,1.13845,1.13933,1.13773,1.13871
2020.07.17 08:00,1.13871,1.14172,1.13779,1.14162
2020.07.17 12:00,1.14162,1.14298,1.14093,1.14187
2020.07.17 16:00,1.14186,1.14423,1.14159,1.14351
2020.07.17 20:00,1.14352,1.14435,1.14227,1.14264
2020.07.20 00:00,1.14175,1.14455,1.14126,1.1422
2020.07.20 04:00,1.1422,1.14423,1.14123,1.14423
2020.07.20 08:00,1.14423,1.14674,1.14357,1.14574
2020.07.20 12:00,1.14573,1.1464,1.14154,1.14179
2020.07.20 16:00,1.1418,1.14483,1.14024,1.14383
2020.07.20 20:00,1.14383,1.14487,1.14334,1.14472
2020.07.21 00:00,1.14442,1.14639,1.14394,1.14552
2020.07.21 04:00,1.14552,1.14696,1.14227,1.14303
2020.07.21 08:00,1.14303,1.14665,1.14277,1.1443
2020.07.21 12:00,1.1443,1.14601,1.14297,1.14384
2020.07.21 16:00,1.14385,1.15172,1.14249,1.1516
2020.07.21 20:00,1.15161,1.15396,1.15124,1.15283
2020.07.22 00:00,1.1527,1.15421,1.15158,1.15308
2020.07.22 04:00,1.15308,1.15469,1.15291,1.15389
2020.07.22 08:00,1.15389,1.15454,1.15066,1.1522
2020.07.22 12:00,1.1522,1.15999,1.15166,1.15955
2020.07.22 16:00,1.15955,1.1601,1.15706,1.15769
2020.07.22 20:00,1.15769,1.15819,1.15626,1.15698
2020.07.23 00:00,1.15683,1.15754,1.15639,1.15674
2020.07.23 04:00,1.15674,1.15835,1.1564,1.15801
2020.07.23 08:00,1.15801,1.15981,1.15702,1.15882
2020.07.23 12:00,1.15884,1.15942,1.15415,1.15418
2020.07.23 16:00,1.15419,1.16265,1.154,1.16201
2020.07.23 20:00,1.16203,1.16243,1.15885,1.15969
2020.07.24 00:00,1.15909,1.16161,1.15884,1.16137
2020.07.24 04:00,1.16135,1.16206,1.15949,1.15979
2020.07.24 08:00,1.15979,1.16211,1.15899,1.16001
2020.07.24 12:00,1.16001,1.16172,1.1581,1.16145
2020.07.24 16:00,1.16145,1.16377,1.15976,1.16346
2020.07.24 20:00,1.16348,1.1658,1.16341,1.16541
2020.07.27 00:00,1.16435,1.16982,1.16415,1.16884
2020.07.27 04:00,1.16884,1.17248,1.16853,1.1705
2020.07.27 08:00,1.1705,1.17167,1.16893,1.16952
2020.07.27 12:00,1.16951,1.17643,1.16816,1.17389
2020.07.27 16:00,1.17389,1.17811,1.17279,1.17447
2020.07.27 20:00,1.17447,1.17645,1.17421,1.17511
2020.07.28 00:00,1.17464,1.17727,1.17452,1.17659
2020.07.28 04:00,1.17659,1.17734,1.1714,1.1731
2020.07.28 08:00,1.1731,1.17404,1.16986,1.17206
2020.07.28 12:00,1.17207,1.17429,1.16999,1.17327
2020.07.28 16:00,1.17326,1.17418,1.1708,1.17345
2020.07.28 20:00,1.17345,1.17368,1.17119,1.17164
2020.07.29 00:00,1.17136,1.17253,1.1712,1.17213
2020.07.29 04:00,1.17213,1.17337,1.1715,1.17294
2020.07.29 08:00,1.17294,1.17698,1.17243,1.17504
2020.07.29 12:00,1.17505,1.17543,1.17182,1.17432
2020.07.29 16:00,1.17435,1.17781,1.17419,1.17733
2020.07.29 20:00,1.17733,1.18058,1.17536,1.17897
2020.07.30 00:00,1.17843,1.17928,1.17721,1.17794
2020.07.30 04:00,1.17794,1.17848,1.17656,1.17683
2020.07.30 08:00,1.17683,1.1769,1.174,1.17419
2020.07.30 12:00,1.1742,1.17788,1.17306,1.17769
2020.07.30 16:00,1.17772,1.18093,1.17738,1.18035
2020.07.30 20:00,1.18035,1.1848,1.18019,1.18465
2020.07.31 00:00,1.18455,1.18883,1.18362,1.18658
2020.07.31 04:00,1.18658,1.19046,1.18618,1.18975
2020.07.31 08:00,1.18974,1.19085,1.18518,1.18577
2020.07.31 12:00,1.18575,1.18622,1.18272,1.18435
2020.07.31 16:00,1.18435,1.18511,1.17613,1.1791
2020.07.31 20:00,1.17911,1.1805,1.17692,1.17762
2020.08.03 00:00,1.17707,1.17965,1.17403,1.17531
2020.08.03 04:00,1.17531,1.17821,1.17448,1.17755
2020.08.03 08:00,1.17755,1.17846,1.17486,1.17789
2020.08.03 12:00,1.17789,1.17794,1.17058,1.17072
2020.08.03 16:00,1.17072,1.17517,1.16955,1.17489
2020.08.03 20:00,1.17489,1.17676,1.17467,1.17623
2020.08.04 00:00,1.17626,1.17655,1.1752,1.17534
2020.08.04 04:00,1.17534,1.17743,1.17531,1.17737
2020.08.04 08:00,1.17736,1.18025,1.17639,1.17923
2020.08.04 12:00,1.17924,1.18057,1.17218,1.1728
2020.08.04 16:00,1.1728,1.17775,1.17211,1.17775
2020.08.04 20:00,1.17775,1.18029,1.17744,1.18022
2020.08.05 00:00,1.17965,1.18147,1.17928,1.18091
2020.08.05 04:00,1.18091,1.18212,1.18048,1.18167
2020.08.05 08:00,1.18167,1.18412,1.17991,1.18401
2020.08.05 12:00,1.18401,1.18807,1.18311,1.18775
2020.08.05 16:00,1.18775,1.19046,1.18628,1.18731
2020.08.05 20:00,1.18731,1.18785,1.18542,1.18639
2020.08.06 00:00,1.18611,1.18857,1.18611,1.18782
2020.08.06 04:00,1.18782,1.18836,1.18626,1.1879
2020.08.06 08:00,1.18791,1.19158,1.18379,1.18422
2020.08.06 12:00,1.18421,1.18701,1.18319,1.18487
2020.08.06 16:00,1.18487,1.18904,1.18177,1.18799
2020.08.06 20:00,1.18799,1.18935,1.18629,1.18765
2020.08.07 00:00,1.18687,1.18828,1.18687,1.18738
2020.08.07 04:00,1.18738,1.18741,1.18194,1.1835
2020.08.07 08:00,1.18351,1.18504,1.18209,1.18325
2020.08.07 12:00,1.18325,1.18453,1.18019,1.18309
2020.08.07 16:00,1.18309,1.18331,1.1755,1.17687
2020.08.07 20:00,1.17687,1.17887,1.17662,1.17847
2020.08.10 00:00,1.17857,1.17951,1.17733,1.17937
2020.08.10 04:00,1.17938,1.17981,1.17897,1.17906
2020.08.10 08:00,1.17907,1.18004,1.17521,1.17721
2020.08.10 12:00,1.17721,1.17753,1.17403,1.17674
2020.08.10 16:00,1.17674,1.17917,1.17463,1.17531
2020.08.10 20:00,1.17531,1.17564,1.17358,1.17362
2020.08.11 00:00,1.17364,1.17426,1.17219,1.17245
2020.08.11 04:00,1.17245,1.17545,1.17229,1.17519
2020.08.11 08:00,1.17519,1.17741,1.17224,1.17721
2020.08.11 12:00,1.1772,1.18077,1.1771,1.17972
2020.08.11 16:00,1.17972,1.17973,1.17567,1.1771
2020.08.11 20:00,1.17711,1.17714,1.1728,1.17391
2020.08.12 00:00,1.17389,1.17452,1.17258,1.17338
2020.08.12 04:00,1.17338,1.17409,1.17109,1.1714
2020.08.12 08:00,1.1714,1.17603,1.1712,1.17475
2020.08.12 12:00,1.17475,1.17954,1.17442,1.17903
2020.08.12 16:00,1.17902,1.18158,1.17718,1.17912
2020.08.12 20:00,1.17912,1.17969,1.17823,1.17848
2020.08.13 00:00,1.17845,1.18104,1.17801,1.18063
2020.08.13 04:00,1.18063,1.18168,1.18005,1.18008
2020.08.13 08:00,1.18006,1.18409,1.18002,1.1838
2020.08.13 12:00,1.18382,1.1853,1.18229,1.18487
2020.08.13 16:00,1.18487,1.18639,1.1813,1.18171
2020.08.13 20:00,1.18171,1.18207,1.17933,1.18141
2020.08.14 00:00,1.18137,1.18205,1.1807,1.18093
2020.08.14 04:00,1.18093,1.18182,1.18014,1.1813
2020.08.14 08:00,1.1813,1.18264,1.17906,1.1816
2020.08.14 12:00,1.1816,1.18297,1.17815,1.18182
2020.08.14 16:00,1.18182,1.18485,1.18103,1.18449
2020.08.14 20:00,1.18449,1.18502,1.18336,1.18413
2020.08.17 00:00,1.18394,1.18527,1.18309,1.18472
2020.08.17 04:00,1.18472,1.18672,1.18431,1.18561
2020.08.17 08:00,1.18561,1.18678,1.18285,1.18378
2020.08.17 12:00,1.18379,1.18635,1.18337,1.18568
2020.08.17 16:00,1.18569,1.18807,1.18511,1.18675
2020.08.17 20:00,1.18675,1.18737,1.18599,1.18697
2020.08.18 00:00,1.18691,1.18916,1.18615,1.18903
2020.08.18 04:00,1.18903,1.18963,1.18829,1.18917
